代號,證券商名稱,地址
538M,第一金-嘉義,嘉義市中山路307號3樓
538N,第一金-豐原,台中市豐原區中山路423號3樓
538P,第一金-路竹,高雄市路竹區中山路1187號2樓
538W,第一金-華江,新北市板橋區文化路1段329號2樓(略)
538Y,第一金-中壢,桃園縣中壢市中央西路2段30號2樓
5460,寶盛,台中市北屯區北興街43號1樓、2樓
5600,永興,台北市南海路20號2樓、3樓部分
5602,永興-水湳,台中市北屯區中清路二段578號一樓、二樓
5603,永興-台中,台中市三民路3段265號之1一、二樓(略)
5604,永興-大墩,台中市南屯區大墩路754、756號1、2樓
5660,日進,苗栗縣苗栗市中正路426號4F
5850,統一,台北市東興路8號1樓部分、2樓部分、3樓部分
5851,統一-高雄,高雄市中正三路55號5樓
5852,統一-敦南,台北市敦化南路2段105號6樓
5853,統一-中壢,"桃園縣中壢市中美路51號1,2,3樓及地下室"
5854,統一-城中,台北市博愛路80號2樓、4樓之1、4樓
5855,統一-台南,台南市中山路八十八號三樓
5856,統一-台中,台中市五權西路一段二五七號三樓
5857,統一-新竹,新竹市北大路307號2樓
5858,統一-嘉義,嘉義市林森西路153號3、4樓部份
5859,統一-屏東,屏東縣屏東市濟南街10-1號
585A,統一-基隆,基隆市仁愛區仁三路11號2樓
585B,統一-永和,新北市永和區福和路389號3樓
585D,統一-新台中,台中市西屯區文心路2段201號8樓(略)
585E,統一-新營,台南市新營區中山路113號4樓
585F,統一-彰化,彰化縣彰化市華山路37號6樓
585H,統一-桃園,桃園縣桃園市成功路1段32號10樓
585I,統一-員林,彰化縣員林鎮靜修路12號2樓
585J,統一-三重,新北市三重區重新路4段12號4樓
585M,統一士林,台北市士林區承德路4段83號3樓(略)
585P,統一-板橋,新北市板橋區府中路二十九之二號八樓
585Q,統一-三多,高雄市苓雅區四維四路7號6樓
585R,統一-汐止,新北市汐止區中興路160號5樓(略)
585S,統一-宜蘭,宜蘭縣宜蘭市中山路3段152號2樓
585U,統一-南京,台北市南京東路三段二四八號二樓、二樓之一部分
585W,統一-金門,金門縣金城鎮民權路160號1樓(略)
585Y,統一-土城,新北市土城區裕民路149號2樓、2樓之1
585Z,統一-松江,台北市松江路127之1號5樓、6樓
585b,統一-內湖,台北市內湖路1段575號3樓
585c,統一-仁愛,台北市安和路1段29號2樓
5860,盈溢,高雄市新興區七賢二路38號
5861,盈溢-籬子內,高雄市前鎮區瑞北路44號1樓
